Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-11-16,39.040001,40.009998,38.709999,39.919998,39.919998,12649100,413
2020-11-17,38.860001,40.439999,38.720001,39.419998,39.419998,8342900,414
2020-11-18,39.810001,41.408001,39.52,39.77,39.77,8909500,415
2020-11-19,39.599998,40.75,39.119999,40.110001,40.110001,7658400,416
2020-11-20,40.169998,40.299999,37.73,38.099998,38.099998,12373000,417
2020-11-23,38.540001,39.950001,38.439999,39.349998,39.349998,9408300,418
2020-11-24,40.400002,40.400002,39.18,39.490002,39.490002,9086200,419
2020-11-25,39,39.599998,38.200001,39.52,39.52,5409700,420
2020-11-27,39.369999,39.900002,38.77,39.040001,39.040001,3664800,421
2020-11-30,38.790001,39.349998,37.630001,38.169998,38.169998,5303100,422
2020-12-01,39.080002,40.869999,38.73,39.610001,39.610001,6965000,423
2020-12-02,39.025002,43.860001,38.200001,43.400002,43.400002,17157800,424
2020-12-03,43.41,44.060001,42.400002,43.099998,43.099998,8617000,425
2020-12-04,43.400002,46.139999,43.400002,46.099998,46.099998,10547900,426
2020-12-07,47.349998,47.749001,46.029999,46.555,46.555,8608200,427
2020-12-08,46.040001,47.900002,46.040001,46.52,46.52,7448800,428
2020-12-09,47.23,48.75,46.23,47.529999,47.529999,11669100,429
2020-12-10,46.650002,48.650002,45.810001,48.110001,48.110001,7236600,430
2020-12-11,48.029999,49.169998,46.43,46.869999,46.869999,7040700,431
2020-12-14,47.622002,48.400002,46.630001,46.77,46.77,6105900,432
2020-12-15,46.990002,49.327,46.970001,49.299999,49.299999,6935700,433
